0.5 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.501 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.502 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.503 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.504 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.505 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.506 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.507 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.508 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.509 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.51 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.511 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.512 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.513 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.514 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.515 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.516 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.517 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.518 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.519 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.52 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.521 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.522 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.523 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.524 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.525 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.526 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.527 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.528 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.529 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.53 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.531 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
0.532 No. of Outliers: 104, Clusters : 2, Silhoutte -0.15530000627040863
